Productos,Endulcorantes,Carne_cerdo,Concentrados,Salsas,Condimentos,Comida_preparada,Lacteos,Conservas,Fruta_almibar,Frutas,Granos,Jugos,Bebidas_azucaradas,Verduras,Chiles_secos,Aderezos,Sopas,Pastas,Sardina,Pescado,Carne_res,Pures,Cremas,Pollo,Atun,Champiñones,Botanas,Caldos,Agua
Opcion 1,Best,Diporsa,Barilla,Barilla,Cautivar al consumidor,Bimbo,Leche Queretaro,La Costeña,La Costeña,Hidrorgan,Verde Valle,Coca Cola,Coca Cola,Hidrorgan,La Costeña,La Costeña,Barilla,Barilla,La Torre,La Torre,SuKarne,La Costeña,Barilla,Bachoco,Procesa,Alimentos San Miguel,Sabritas,McCormick,Coca Cola
Opcion 2,Niuco,Norson,La Torre,La Torre,FABP,Lala,Gota Blanca,La Torre,La Torre,Cajas agricolas del Norte,Alimentos San Miguel,Campbell´s,Campbell´s,Cajas agricolas del Norte,La Torre,Escosa,Campbell´s,Campbell´s,San Carlos,San Carlos,Maxi Carne,San Miguel,Campbell´s,Proteina Animal,Pinsa,Herdez,Barcel,Campbell´s,Del Valle
Opcion 3,IMCD,La Barca,La Costeña,La Costeña,La campana,Sabritas,Alpura,FARO,FARO,Industria agricola Maya,La Costeña,Jumex,Jumex,Industria agricola Maya,FARO,San Miguel,La Costeña,La Costeña,FARO,FARO,El Jarocho carnicerias,Herdez,La Costeña,Empresa Guadalupe,Grupomar,Hongos de México,San Miguel,Unilever,
Opcion 4,Ingredion,Alimentos altamira,Chiligrin,Chiligrin,Cicasa,Sigma alimentos,Ultralacteos,San Marcos,San Marcos,Herbal Mexico,La Torre,Roseta,Roseta,Herbal Mexico,San Marcos,Herdez,San Miguel,San Miguel,Herdez,Herdez,Carnemart,Sabormex,San Miguel,El Calvario,San Carlos,,,,
Opcion 5,Ingreditech,Alimentos kowi,El Yucateco,El Yucateco,Tres villas,Nestlé,Quesos sierra verde,San Miguel,San Miguel,Rancho chacxul,FARO,Herdez,Herdez,Rancho chacxul,San Miguel,McCormick,Unilever,Unilever,Grupomar,Grupomar,BIF,Saporis,Unilever,,,,,,
Opcion 6,Innoquality,San Agustin,FARO,FARO,El molino de las haciendas,Mondelez,La Vaquita,Herdez,Herdez,Bocado,San Marcos,Jugomex,Jugomex,Bocado,Herdez,Sabormex,Herdez,Herdez,Pinsa,Pinsa,Cafisu,,,,,,,,
Opcion 7,Norevo,Alimentos soles,San Miguel,San Miguel,Ernesto Ibarra y Cia,Ganaderos productores de leche pura,DLISA,La Morena,La Morena,Grupo serole,San Miguel,Del Valle,Del Valle,Grupo serole,La Morena,Saporis,Sabormex,Sabormex,Procesa,Procesa,Carnes Ramos,,,,,,,,
Opcion 8,Noverek,Supremos de oriente,San Marcos,San Marcos,Especias y picantes del Bajio,Pepsico,Liconsa,Sabormex,Sabormex,Huerta los caprichos,Herdez,Sabormex,Sabormex,Huerta los caprichos,Sabormex,Unilever,Saporis,Saporis,,,,,,,,,,,
Opcion 9,Regiocor,Carmo,Escosa,Escosa,Griffith foods,La Costeña,Lala,Santa Monica,Santa Monica,Brokimex,Sabormex,Valle redondo,Valle redondo,Brokimex,,,,,,,,,,,,,,,
Opcion 10,Tecsa,Carnes muma,Herdez,Herdez,Hela spice,Unilever,Coca Cola,,,,,,,,,,,,,,,,,,,,,,
Opcion 11,Ajinomoto,San Carlos,La Guacamaya,La Guacamaya,Ingegnosa,Herdez,,,,,,,,,,,,,,,,,,,,,,,
Opcion 12,Nekutli,Carnes selectas Ali,McCormick,McCormick,M Food,,,,,,,,,,,,,,,,,,,,,,,,
Opcion 13,Amfher,Selectas de Veracruz,La Morena,La Morena,McCormick,,,,,,,,,,,,,,,,,,,,,,,,
Opcion 14,Aquimex,Cedicarnes,LOL-TUN,LOL-TUN,Noris,,,,,,,,,,,,,,,,,,,,,,,,
Opcion 15,Cava,Carnes salas,Terana,Terana,Nutriesen,,,,,,,,,,,,,,,,,,,,,,,,
Opcion 16,Dohler,Rica GHS,Sabormex,Sabormex,Alimex,,,,,,,,,,,,,,,,,,,,,,,,
Opcion 17,Endulzantes la esmeralda,Cerdo de Puebla,Saporis,Saporis,,,,,,,,,,,,,,,,,,,,,,,,,
Opcion 18,Metco,Distribuidora Pepe,Verde valle,Verde valle,,,,,,,,,,,,,,,,,,,,,,,,,
